CODGEO;SNHM18;SNHMC18;SNHMP18;SNHME18;SNHMO18;SNHMF18;SNHMFC18;SNHMFP18;SNHMFE18;SNHMFO18;SNHMH18;SNHMHC18;SNHMHP18;SNHMHE18;SNHMHO18;SNHM1818;SNHM2618;SNHM5018;SNHMF1818;SNHMF2618;SNHMF5018;SNHMH1818;SNHMH2618;SNHMH5018
26;14.0018077646606;24.6524346689357;15.058790900908;10.7508914130027;11.2339166890199;12.3218085669768;20.9524655638633;13.5898286293552;10.482701184509;10.3061202784013;15.155120255334;26.2187833869275;16.10116409533;11.4344635606044;11.4731669328053;9.84234373794157;13.8303929027534;16.1996691539369;9.52889994510056;12.3750413580979;13.4179358222123;10.0743088526867;14.8021989550065;18.1777757323267
27;14.3061345579216;25.2566205277712;15.569129412412;10.9086475102263;11.8740762786774;12.8439768788174;22.0690815893204;14.2156568614103;10.7064037156217;10.7893286756784;15.2711620550345;26.8317041569313;16.5468495042945;11.4587848908662;12.1615661848074;9.92682792713208;14.0491948214071;16.6278974897658;9.62845797729588;12.802265671599;14.2320041049336;10.137016121832;14.8686579912106;18.1872305977322
28;14.4248739557103;25.4116234180865;15.2828128078971;11.078696769001;11.6401881662782;13.0126004025652;22.0689809150291;14.2515950387278;10.874178000872;10.7774817574538;15.3756144361524;26.9615797468791;16.0610512361414;11.5802647134483;11.8585111134702;9.91427204603085;14.1645357612031;16.803131127622;9.64949365354263;12.975556298715;14.4381899762735;10.1038747291239;14.9575360052522;18.3946866092086
29;13.3656149530484;23.6658973435253;14.3986992490589;10.4524897001674;11.040851598118;12.0686481395233;20.3229546794026;13.4602261130563;10.3047465169049;9.90620959669631;14.3222112987345;25.3286272213119;15.1801857014058;10.842832026223;11.2947428750882;9.59130304348891;13.1848916545803;15.4429199910079;9.37218662755185;12.091600949455;13.1331234039735;9.75383901492626;13.9722945751084;17.2483226311716
2A;13.2688312760319;22.6518004323875;15.681033341733;10.7347236160238;11.4279647849229;12.1547329873144;19.9525552279002;14.3323435263429;10.4885252079207;9.78828717654913;14.1086431838544;24.2372460855703;16.9351083095234;11.2129989412449;11.6606661637509;9.86626485360177;12.9225800265978;15.4386807996421;9.63685463507569;11.9904016272241;13.5742045544898;10.0394591837647;13.6342791727137;16.8019500118059
2B;12.9179389155326;22.0721654886998;15.050626593119;10.7213536207692;11.2681594039782;11.8954202605515;19.7284472231717;14.0335149313196;10.4103126903736;9.71367787475651;13.6864372435939;23.3838597349551;15.9728878609599;11.3678149946819;11.4656405472821;9.57767896513816;12.5650088290307;15.034503908476;9.42216589980594;11.7458143635679;13.2580357347177;9.70339018039326;13.1782881063755;16.3440016221466
30;13.7750594782377;23.9083394353602;15.0421558526179;10.4965428547934;11.3450722423977;12.1960272437014;20.5411047033091;13.5800709238777;10.2136878492541;9.95967506715958;14.8831440285322;25.5257679449741;16.179825274329;11.1557653427553;11.5704494320426;9.71270536296548;13.4623105647501;16.0033780158615;9.25542291595401;12.1890836398405;13.3247520092429;10.0532514780046;14.3445292771564;17.8980417167667
31;16.2163277079854;25.1637495067403;15.0193014148048;10.8461864296019;11.523061528636;14.0831092161274;21.9041015429692;13.8892966879846;10.7057318240821;10.0562299950197;17.6705692338065;26.6921147807222;15.9394524282019;11.1500746615006;11.7767547577761;10.1179850234842;15.7439541294022;20.3786870357258;9.57533620452467;14.12286563382;16.1677925336398;10.5277688384334;16.8308197579442;23.2505557578043
32;13.2988417297478;23.7217954876328;14.3425072396753;10.4689800349595;10.7329383213053;12.0096972680102;20.1806195718376;13.380605708624;10.3347309526863;9.65856653813757;14.2459404665057;25.3932268185156;15.1611310397291;10.8535871078518;10.9687991317303;9.46151753637831;13.1143119904487;14.9992489628429;9.30647322123514;11.9429357031659;13.0244508765568;9.57135309677368;13.9621473063679;16.5158960956339
33;14.8786030385418;25.2017562046501;14.9929722668819;10.8961464992937;11.2284062939852;13.1946149473206;21.5182543611371;13.917051043198;10.6889407072119;9.8595960355489;16.1426556477394;27.0982138738165;15.9695760849845;11.3694617501677;11.4691597839071;9.83556039055165;14.6600369728835;17.9354429265923;9.45676602795747;13.2788884235043;14.8363074699957;10.1463498691661;15.6822942106884;20.2573811285464
34;14.0533233359288;23.9757137142249;14.6967176846751;10.5457941747005;10.9064106336578;12.6691310135546;20.8933284663673;13.6619971744324;10.3365847618855;9.62457265488168;15.0945640320898;25.6058477166306;15.63619097957;10.958206782017;11.1005160630872;9.65486356838072;13.8545534184566;16.5423562002503;9.31752399030494;12.7301887289355;14.0497475852156;9.93861272910522;14.6696625158337;18.5130264151555
